school,journal,year,author,paper_key,tags,affiliation
NYU (Stern),MS,2025,Jiawei Zhang,doi:10.1287/mnsc.2020.03850,statistics,"Department of Technology, Operations and Statistics, NYU Stern School of Business, New York, New York 10012"
MIT,MS,2025,Patrick Jaillet,doi:10.1287/mnsc.2022.01092,engineering|computer_science,"Department of Electrical Engineering and Computer Science, Laboratory for Information and Decision Systems, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2025,David Simchi-Levi,doi:10.1287/mnsc.2023.01577,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2025,David Simchi-Levi,doi:10.1287/mnsc.2023.03956,engineering,"Institute for Data, Systems and Society, Operations Research Center, Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
McGill (Desautels),OR,2021,Derek D. Wang,doi:10.1287/opre.2019.1961,economics,"Department of Supply Chain Management, College of Business Administration, Capital University of Economics and Business, 100070 Beijing, China; ; Department of Operations Management, Desautels Faculty of Management, McGill University, Montreal, Quebec H3A 1G5, Canada;"
MIT,OR,2021,David Simchi-Levi,doi:10.1287/opre.2020.2048,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
MIT,OR,2021,Patrick Jaillet,doi:10.1287/opre.2020.2017,engineering|computer_science,"Department of Electrical Engineering and Computer Science, Laboratory for Information and Decision Systems, Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
NYU (Stern),OR,2021,Zhengyuan Zhou,doi:10.1287/opre.2020.1996,statistics,"Department of Technology, Operations, and Statistics, Stern School of Business, New York University, New York, New York 10012;"
MIT,OR,2022,David Simchi-Levi,doi:10.1287/opre.2022.2304,engineering,"Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; ; Institute for Data, Systems, and Society, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; ; Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
UT Dallas,OR,2022,Alain Bensoussan,doi:10.1287/opre.2021.2197,statistics,"International Center for Decision and Risk Analysis, Naveen Jindal School of Management, University of Texas at Dallas, Richardson, Texas 75083 ; The School of Data Science, City University of Hong Kong, 999077, Hong Kong"
MIT,OR,2022,David Simchi-Levi,doi:10.1287/opre.2021.2243,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
Wharton (UPenn),OR,2022,Yuting Wei,doi:10.1287/opre.2021.2151,statistics,"Department of Statistics and Data Science, The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104"
MIT,OR,2022,Saurabh Amin,doi:10.1287/opre.2021.2180,engineering,"Department of Civil and Environmental Engineering, Laboratory for Information and Decision Systems and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
NYU (Stern),OR,2022,Srikanth Jagabathula,doi:10.1287/opre.2021.2108,statistics,"Department of Technology, Operations, and Statistics, Leonard N. Stern School of Business, New York University, New York, New York 10012;"
Stanford,OR,2022,Yonatan Gur,doi:10.1287/opre.2021.2215,engineering|computer_science,"Graduate School of Business, Stanford University, Stanford, California 94305; ; Electrical Engineering Department, Stanford University, Stanford, California 94305"
NYU (Stern),OR,2022,Ilan Lobel,doi:10.1287/opre.2021.2112,statistics,"Technology, Operations, and Statistics Department, Stern School of Business, New York University, New York, New York 10012"
MIT,OR,2022,Patrick Jaillet,doi:10.1287/opre.2021.2183,engineering|computer_science,"Department of Electrical Engineering and Computer Science, Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
NYU (Stern),OR,2023,Jiawei Zhang,doi:10.1287/opre.2022.2386,statistics,"Department of Technology, Operations and Statistics, Stern School of Business, New York University, New York, New York 10012"
