rankings_school,year,ms_std_papers,ms_personal_papers,ms_std_citations,ms_personal_citation_weighted
Yale,2021,1.0000,1.0000,2.0000,2.0000
Yale,2022,2.0000,2.0000,14.0000,14.0000
Yale,2023,3.0000,3.0000,45.0000,45.0000
Yale,2024,0.0000,0.0000,0.0000,0.0000
Yale,2025,5.0000,6.0000,26.0000,37.0000
Yale,2026,3.0000,4.0000,1.0000,1.0000
Carnegie Mellon (Tepper),2016,1.0000,3.0000,100.0000,300.0000
Carnegie Mellon (Tepper),2017,2.0000,3.0000,124.0000,166.0000
Carnegie Mellon (Tepper),2018,3.0000,3.0000,171.0000,171.0000
Carnegie Mellon (Tepper),2019,0.0000,0.0000,0.0000,0.0000
Carnegie Mellon (Tepper),2020,3.0000,4.0000,329.0000,545.0000
Carnegie Mellon (Tepper),2021,3.0000,6.0000,245.0000,532.0000
Carnegie Mellon (Tepper),2022,4.0000,7.0000,200.0000,424.0000
Carnegie Mellon (Tepper),2023,3.0000,3.0000,26.0000,26.0000
Carnegie Mellon (Tepper),2024,2.0000,2.0000,29.0000,29.0000
Carnegie Mellon (Tepper),2025,10.0000,12.0000,24.0000,25.0000
Carnegie Mellon (Tepper),2026,1.0000,1.0000,2.0000,2.0000
Arizona State (Carey),2016,0.0000,0.0000,0.0000,0.0000
Arizona State (Carey),2017,0.0000,0.0000,0.0000,0.0000
Arizona State (Carey),2018,1.0000,1.0000,20.0000,20.0000
Arizona State (Carey),2019,0.0000,0.0000,0.0000,0.0000
Arizona State (Carey),2020,0.0000,0.0000,0.0000,0.0000
Arizona State (Carey),2021,0.0000,0.0000,0.0000,0.0000
Arizona State (Carey),2022,0.0000,0.0000,0.0000,0.0000
Arizona State (Carey),2023,1.0000,1.0000,62.0000,62.0000
Arizona State (Carey),2024,1.0000,1.0000,11.0000,11.0000
Arizona State (Carey),2025,4.0000,6.0000,14.0000,24.0000
Arizona State (Carey),2026,1.0000,1.0000,0.0000,0.0000
UC Berkeley (Haas),2016,1.0000,1.0000,111.0000,111.0000
UC Berkeley (Haas),2017,3.0000,3.0000,405.0000,405.0000
UC Berkeley (Haas),2018,3.0000,3.0000,442.0000,442.0000
UC Berkeley (Haas),2019,3.0000,3.0000,149.0000,149.0000
UC Berkeley (Haas),2020,4.0000,4.0000,351.0000,351.0000
UC Berkeley (Haas),2021,4.0000,4.0000,289.0000,289.0000
UC Berkeley (Haas),2022,2.0000,6.0000,66.0000,199.0000
UC Berkeley (Haas),2023,6.0000,10.0000,136.0000,184.0000
UC Berkeley (Haas),2024,5.0000,6.0000,58.0000,66.0000
UC Berkeley (Haas),2025,8.0000,9.0000,26.0000,26.0000
UC Berkeley (Haas),2026,2.0000,5.0000,5.0000,8.0000
Maryland (Smith),2016,2.0000,2.0000,771.0000,771.0000
Maryland (Smith),2017,1.0000,3.0000,29.0000,87.0000
Maryland (Smith),2018,2.0000,1.0000,317.0000,272.0000
Maryland (Smith),2019,2.0000,0.0000,86.0000,0.0000
Maryland (Smith),2020,3.0000,2.0000,295.0000,265.0000
Maryland (Smith),2021,2.0000,0.0000,47.0000,0.0000
Maryland (Smith),2022,5.0000,3.0000,51.0000,26.0000
Maryland (Smith),2023,4.0000,2.0000,51.0000,29.0000
Maryland (Smith),2024,4.0000,2.0000,34.0000,17.0000
Maryland (Smith),2025,8.0000,4.0000,20.0000,6.0000
Maryland (Smith),2026,1.0000,2.0000,0.0000,0.0000
Wisconsin-Madison,2016,0.0000,0.0000,0.0000,0.0000
Wisconsin-Madison,2017,1.0000,4.0000,91.0000,402.0000
Wisconsin-Madison,2018,0.0000,2.0000,0.0000,297.0000
Wisconsin-Madison,2019,1.0000,2.0000,19.0000,92.0000
Wisconsin-Madison,2020,2.0000,3.0000,53.0000,95.0000
Wisconsin-Madison,2021,2.0000,3.0000,41.0000,123.0000
Wisconsin-Madison,2022,2.0000,2.0000,49.0000,49.0000
Wisconsin-Madison,2023,1.0000,5.0000,24.0000,143.0000
Wisconsin-Madison,2024,0.0000,1.0000,0.0000,11.0000
Wisconsin-Madison,2025,1.0000,3.0000,2.0000,5.0000
Wisconsin-Madison,2026,2.0000,2.0000,1.0000,1.0000
Johns Hopkins (Carey),2016,0.0000,0.0000,0.0000,0.0000
Johns Hopkins (Carey),2017,0.0000,0.0000,0.0000,0.0000
Johns Hopkins (Carey),2018,1.0000,1.0000,45.0000,45.0000
Johns Hopkins (Carey),2019,2.0000,4.0000,86.0000,216.0000
Johns Hopkins (Carey),2020,1.0000,1.0000,30.0000,30.0000
Johns Hopkins (Carey),2021,2.0000,2.0000,47.0000,47.0000
Johns Hopkins (Carey),2022,2.0000,2.0000,25.0000,25.0000
Johns Hopkins (Carey),2023,2.0000,2.0000,22.0000,22.0000
Johns Hopkins (Carey),2024,2.0000,2.0000,17.0000,17.0000
Johns Hopkins (Carey),2025,4.0000,6.0000,14.0000,42.0000
Johns Hopkins (Carey),2026,0.0000,0.0000,0.0000,0.0000
UW (Foster),2016,0.0000,0.0000,0.0000,0.0000
UW (Foster),2017,3.0000,6.0000,271.0000,568.0000
UW (Foster),2018,2.0000,2.0000,177.0000,177.0000
UW (Foster),2019,1.0000,2.0000,248.0000,496.0000
UW (Foster),2020,2.0000,2.0000,217.0000,217.0000
UW (Foster),2021,2.0000,3.0000,72.0000,100.0000
UW (Foster),2022,4.0000,5.0000,92.0000,93.0000
UW (Foster),2023,2.0000,3.0000,99.0000,155.0000
UW (Foster),2024,2.0000,3.0000,30.0000,53.0000
UW (Foster),2025,4.0000,4.0000,14.0000,14.0000
UW (Foster),2026,0.0000,0.0000,0.0000,0.0000
Colorado (Leeds),2016,1.0000,1.0000,48.0000,48.0000
Colorado (Leeds),2017,0.0000,0.0000,0.0000,0.0000
Colorado (Leeds),2018,0.0000,0.0000,0.0000,0.0000
Colorado (Leeds),2019,0.0000,0.0000,0.0000,0.0000
Colorado (Leeds),2020,0.0000,0.0000,0.0000,0.0000
Colorado (Leeds),2021,1.0000,2.0000,291.0000,582.0000
Colorado (Leeds),2022,3.0000,3.0000,67.0000,67.0000
Colorado (Leeds),2023,1.0000,1.0000,17.0000,17.0000
Colorado (Leeds),2024,1.0000,1.0000,33.0000,33.0000
Colorado (Leeds),2025,1.0000,1.0000,9.0000,9.0000
Colorado (Leeds),2026,0.0000,0.0000,0.0000,0.0000
Emory (Goizueta),2016,1.0000,1.0000,153.0000,153.0000
Emory (Goizueta),2017,0.0000,0.0000,0.0000,0.0000
Emory (Goizueta),2018,2.0000,2.0000,130.0000,130.0000
Emory (Goizueta),2019,3.0000,3.0000,235.0000,235.0000
Emory (Goizueta),2020,4.0000,4.0000,581.0000,581.0000
Emory (Goizueta),2021,1.0000,1.0000,110.0000,110.0000
Emory (Goizueta),2022,0.0000,0.0000,0.0000,0.0000
Emory (Goizueta),2023,0.0000,0.0000,0.0000,0.0000
Emory (Goizueta),2024,1.0000,1.0000,6.0000,6.0000
Emory (Goizueta),2025,0.0000,0.0000,0.0000,0.0000
Emory (Goizueta),2026,0.0000,0.0000,0.0000,0.0000
UIUC (Gies),2016,0.0000,0.0000,0.0000,0.0000
UIUC (Gies),2017,2.0000,2.0000,172.0000,172.0000
UIUC (Gies),2018,1.0000,1.0000,99.0000,99.0000
UIUC (Gies),2019,2.0000,3.0000,62.0000,80.0000
UIUC (Gies),2020,2.0000,3.0000,76.0000,98.0000
UIUC (Gies),2021,4.0000,5.0000,302.0000,401.0000
UIUC (Gies),2022,1.0000,4.0000,39.0000,105.0000
UIUC (Gies),2023,8.0000,9.0000,94.0000,94.0000
UIUC (Gies),2024,3.0000,4.0000,38.0000,38.0000
UIUC (Gies),2025,9.0000,13.0000,30.0000,44.0000
UIUC (Gies),2026,0.0000,0.0000,0.0000,0.0000
McGill (Desautels),2016,1.0000,2.0000,48.0000,96.0000
McGill (Desautels),2017,1.0000,1.0000,52.0000,52.0000
McGill (Desautels),2018,2.0000,2.0000,144.0000,144.0000
McGill (Desautels),2019,2.0000,2.0000,161.0000,161.0000
McGill (Desautels),2020,4.0000,4.0000,273.0000,273.0000
McGill (Desautels),2021,4.0000,3.0000,233.0000,84.0000
McGill (Desautels),2022,3.0000,3.0000,187.0000,187.0000
McGill (Desautels),2023,2.0000,3.0000,8.0000,13.0000
McGill (Desautels),2024,1.0000,1.0000,6.0000,6.0000
McGill (Desautels),2025,2.0000,2.0000,0.0000,0.0000
McGill (Desautels),2026,0.0000,0.0000,0.0000,0.0000
Penn State (Smeal),2016,0.0000,0.0000,0.0000,0.0000
Penn State (Smeal),2017,1.0000,1.0000,167.0000,167.0000
Penn State (Smeal),2018,2.0000,2.0000,118.0000,118.0000
Penn State (Smeal),2019,1.0000,1.0000,103.0000,103.0000
Penn State (Smeal),2020,3.0000,4.0000,205.0000,310.0000
Penn State (Smeal),2021,1.0000,1.0000,24.0000,24.0000
Penn State (Smeal),2022,2.0000,3.0000,30.0000,50.0000
Penn State (Smeal),2023,0.0000,0.0000,0.0000,0.0000
Penn State (Smeal),2024,1.0000,1.0000,4.0000,4.0000
Penn State (Smeal),2025,3.0000,5.0000,12.0000,14.0000
Penn State (Smeal),2026,3.0000,3.0000,2.0000,2.0000
UC San Diego (Rady),2016,1.0000,1.0000,166.0000,166.0000
UC San Diego (Rady),2017,1.0000,1.0000,85.0000,85.0000
UC San Diego (Rady),2018,1.0000,1.0000,54.0000,54.0000
UC San Diego (Rady),2019,0.0000,0.0000,0.0000,0.0000
UC San Diego (Rady),2020,1.0000,2.0000,44.0000,88.0000
UC San Diego (Rady),2021,1.0000,2.0000,54.0000,108.0000
UC San Diego (Rady),2022,0.0000,0.0000,0.0000,0.0000
UC San Diego (Rady),2023,2.0000,4.0000,46.0000,168.0000
UC San Diego (Rady),2024,0.0000,0.0000,0.0000,0.0000
UC San Diego (Rady),2025,2.0000,3.0000,1.0000,2.0000
UC San Diego (Rady),2026,0.0000,0.0000,0.0000,0.0000
Florida (Warrington),2016,0.0000,0.0000,0.0000,0.0000
Florida (Warrington),2017,1.0000,1.0000,88.0000,88.0000
Florida (Warrington),2018,1.0000,1.0000,0.0000,0.0000
Florida (Warrington),2019,0.0000,0.0000,0.0000,0.0000
Florida (Warrington),2020,1.0000,2.0000,57.0000,114.0000
Florida (Warrington),2021,3.0000,3.0000,172.0000,172.0000
Florida (Warrington),2022,2.0000,2.0000,112.0000,112.0000
Florida (Warrington),2023,4.0000,4.0000,94.0000,94.0000
Florida (Warrington),2024,3.0000,3.0000,24.0000,24.0000
Florida (Warrington),2025,6.0000,7.0000,12.0000,16.0000
Florida (Warrington),2026,1.0000,1.0000,1.0000,1.0000
Texas A&M (Mays),2016,0.0000,0.0000,0.0000,0.0000
Texas A&M (Mays),2017,0.0000,0.0000,0.0000,0.0000
Texas A&M (Mays),2018,0.0000,0.0000,0.0000,0.0000
Texas A&M (Mays),2019,1.0000,1.0000,65.0000,65.0000
Texas A&M (Mays),2020,1.0000,1.0000,58.0000,58.0000
Texas A&M (Mays),2021,1.0000,1.0000,27.0000,27.0000
Texas A&M (Mays),2022,2.0000,2.0000,63.0000,63.0000
Texas A&M (Mays),2023,0.0000,0.0000,0.0000,0.0000
Texas A&M (Mays),2024,1.0000,1.0000,11.0000,11.0000
Texas A&M (Mays),2025,3.0000,3.0000,39.0000,39.0000
Texas A&M (Mays),2026,0.0000,0.0000,0.0000,0.0000
Iowa (Tippie),2016,0.0000,0.0000,0.0000,0.0000
Iowa (Tippie),2017,0.0000,0.0000,0.0000,0.0000
Iowa (Tippie),2018,0.0000,0.0000,0.0000,0.0000
Iowa (Tippie),2019,0.0000,0.0000,0.0000,0.0000
Iowa (Tippie),2020,1.0000,1.0000,22.0000,22.0000
Iowa (Tippie),2021,0.0000,0.0000,0.0000,0.0000
Iowa (Tippie),2022,1.0000,3.0000,92.0000,276.0000
Iowa (Tippie),2023,0.0000,0.0000,0.0000,0.0000
Iowa (Tippie),2024,0.0000,0.0000,0.0000,0.0000
