rankings_school,year,ms_std_papers,ms_personal_papers,ms_std_citations,ms_personal_citation_weighted,or_std_papers,or_personal_papers,or_std_citations,or_personal_citation_weighted,msom_std_papers,msom_personal_papers,msom_std_citations,msom_personal_citation_weighted
USC (Marshall),2026,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000
Michigan (Ross),2016,3.0000,6.0000,371.0000,619.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Michigan (Ross),2017,0.0000,0.0000,0.0000,0.0000,1.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Michigan (Ross),2018,7.0000,11.0000,589.0000,840.0000,1.0000,2.0000,0.0000,0.0000,5.0000,9.0000,278.0000,583.0000
Michigan (Ross),2019,3.0000,4.0000,89.0000,131.0000,2.0000,2.0000,0.0000,0.0000,2.0000,4.0000,149.0000,229.0000
Michigan (Ross),2020,2.0000,2.0000,416.0000,416.0000,2.0000,2.0000,0.0000,0.0000,1.0000,1.0000,23.0000,23.0000
Michigan (Ross),2021,2.0000,4.0000,167.0000,399.0000,4.0000,6.0000,0.0000,0.0000,3.0000,5.0000,77.0000,143.0000
Michigan (Ross),2022,8.0000,12.0000,184.0000,284.0000,5.0000,8.0000,0.0000,0.0000,9.0000,12.0000,178.0000,240.0000
Michigan (Ross),2023,5.0000,7.0000,77.0000,114.0000,0.0000,0.0000,0.0000,0.0000,5.0000,8.0000,82.0000,111.0000
Michigan (Ross),2024,3.0000,3.0000,113.0000,113.0000,3.0000,3.0000,0.0000,0.0000,3.0000,5.0000,35.0000,61.0000
Michigan (Ross),2025,4.0000,7.0000,9.0000,12.0000,5.0000,5.0000,0.0000,0.0000,3.0000,5.0000,0.0000,0.0000
Michigan (Ross),2026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
UCLA (Anderson),2016,1.0000,2.0000,82.0000,164.0000,1.0000,1.0000,0.0000,0.0000,3.0000,5.0000,74.0000,107.0000
UCLA (Anderson),2017,2.0000,3.0000,74.0000,134.0000,3.0000,3.0000,0.0000,0.0000,1.0000,1.0000,9.0000,9.0000
UCLA (Anderson),2018,2.0000,2.0000,585.0000,585.0000,2.0000,2.0000,0.0000,0.0000,4.0000,6.0000,729.0000,1023.0000
UCLA (Anderson),2019,2.0000,2.0000,182.0000,182.0000,4.0000,6.0000,0.0000,0.0000,5.0000,5.0000,848.0000,848.0000
UCLA (Anderson),2020,1.0000,1.0000,200.0000,200.0000,2.0000,2.0000,0.0000,0.0000,6.0000,8.0000,555.0000,569.0000
UCLA (Anderson),2021,2.0000,2.0000,217.0000,217.0000,0.0000,0.0000,0.0000,0.0000,2.0000,2.0000,72.0000,72.0000
UCLA (Anderson),2022,6.0000,7.0000,94.0000,140.0000,1.0000,1.0000,0.0000,0.0000,11.0000,15.0000,419.0000,517.0000
UCLA (Anderson),2023,4.0000,4.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,3.0000,3.0000,72.0000,72.0000
UCLA (Anderson),2024,2.0000,2.0000,12.0000,12.0000,2.0000,3.0000,0.0000,0.0000,7.0000,7.0000,183.0000,183.0000
UCLA (Anderson),2025,8.0000,13.0000,34.0000,37.0000,1.0000,1.0000,0.0000,0.0000,4.0000,4.0000,10.0000,10.0000
